天,日期,星期,住宿,类型,里程km,驾驶时长,核心安排,关键节点,备注/重点,
D0,9.24,四(工作日),贺州服务区,床车,400,4.5-5h,深圳下班→G55二广→贺州过夜,深圳→广州北→贺州,19:00 出发，避开晚高峰,
D1,9.25,五(中秋),贵阳东方向服务区,床车,800,7-8h,贺州→G55二广→G65包茂→从江东下高速→肇兴侗寨玩5.5h(鼓楼+大歌+晚饭)→21:00离→G65北上→贵阳东服务区,肇兴侗寨/五座鼓楼/侗族大歌/酸汤鱼+香猪+糯米饭,8:00 起床出发，14:30-21:00 玩肇兴,
D2,9.26,六(中秋),康定,酒店,950,10-11h,服务区→直奔康定(砍乐山/雅安/泸定):G60沪昆→G56杭瑞(毕节)→G76厦蓉(泸州/隆昌)→雅西→雅安→雅康→泸定→康定,毕节+泸州+隆昌服务区+雅安穿城+泸定穿城,7:00 出发，19:00 抵康定，海拔适应,
D3,9.27,日(中秋末),新都桥或甲根坝,酒店/床车,120,3-4h,康定→S434全程:S434各观景点+鱼子西/格底拉姆→住宿二选一,红海子(加呷腊)+加尕措+斯丁措+鱼子西(曲木寺)+格底拉姆,17:00前结束则直接去甲根坝更优,
D4,9.28,一(工作日),贡嘎山镇(色乌绒),床车,130,4-5h,甲根坝→月亮湖→沙德→贡嘎山镇,月亮湖(荷花海)+沙德镇+色乌绒,⭐黄金窗口，月亮湖末端10km碎石,
D5,9.29,二(工作日),贡嘎山镇(色乌绒),床车,50,13-14h,⭐冷嘎措全天:帮木吉德A线→徒步上湖→日落金山→徒步下撤,帮木吉德/上赤吉西村/泉华滩,⭐全程最高光，状态好可湖边露营,
D6,9.3,三(工作日),丹巴中路藏寨/丹巴县城,民宿/床车,225,5h,贡嘎山镇→G248→新都桥→塔公(穿过)→八美(雅拉观景台)→惠远寺→丹巴,亚拉雪山观景台+惠远寺+甲居/中路/梭坡藏寨,⭐黄金窗口，工作日穿过避国庆,
D7,10.1,四(国庆),党岭村,民宿/床车,70,2.5-3h,丹巴→党岭村(最后20km碎石)→下午野温泉/村里休整,党岭温泉+葫芦海客栈,小众不堵，为葫芦海攒体力,
D8,10.2,五(国庆),党岭村,民宿/床车,0,0km,⭐党岭葫芦海全天徒步(往返12km/爬升600m/4200m),飞机坪+葫芦海+卓雍措,⭐彩林+雪山+海子同框,
D9,10.3,六(国庆),四姑娘山镇,酒店/床车,180,5.5h,党岭→丹巴→小金→四姑娘山(猫鼻梁日落),猫鼻梁观景台+四姑娘山售票处,上午过小金避开下撤高峰,
D10,10.4,日(国庆),都江堰,酒店/高速床车,220,4.5h,双桥沟(限流6000·提前预约)→巴朗山→卧龙→都江堰,四姑娜措+撵鱼坝+巴朗山+卧龙,午后下撤平原,
D11,10.5,一(国庆),镇远古城,客栈,700,7.5h,都江堰→G75兰海→G60沪昆→镇远(12:00抵)→下午+夜景,青龙洞+祝圣桥+舞阳河+石屏山,改住镇远半日古镇+夜景,
D12,10.6,二(国庆),到深圳,家,1000,10-11h,镇远→G60沪昆→深圳(06:30前出发,床车兜底),G60/G72/G55服务区,堵则服务区过夜次日到家
D13,10.7,三(国庆末),家,家,0,0km,缓冲日(休整/消化延误),—,—,
合计,—,—,—,—,4700,—,全程约4700km(去程2150km+川西环线1000km+返程1550km),—,国庆前请3天假，避开成都/拥堵,
